YEAR,Start_Year,Home_Value,Source
2016,0,306961,Zillow
2017,1,319371,Zillow
2018,2,330383,Zillow
2019,3,341405,Zillow
2020,4,356602,Zillow
2021,5,389867,Zillow
2022,6,486775,Zillow
